Designator,Mid X,Mid Y,Rotation,Layer
D1,-19.5,-18.5,90.0,bottom
D10,-22.5,-44.0,90.0,bottom
D11,-19.5,-44.0,90.0,bottom
D12,-16.5,-44.0,90.0,bottom
D13,-16.5,-51.0,90.0,bottom
D14,-19.5,-51.0,90.0,bottom
D15,-22.5,-51.0,90.0,bottom
D16,-22.5,-62.0,90.0,bottom
D17,-19.5,-62.0,90.0,bottom
D18,-16.5,-62.0,90.0,bottom
D19,22.5,-18.5,270.0,bottom
D2,-19.5,-11.5,90.0,bottom
D20,22.5,-11.5,270.0,bottom
D21,19.5,-11.5,270.0,bottom
D22,16.5,-11.5,270.0,bottom
D23,19.5,-18.5,270.0,bottom
D24,16.5,-44.0,270.0,bottom
D25,22.5,-25.5,270.0,bottom
D26,19.5,-25.5,270.0,bottom
D27,16.5,-25.5,270.0,bottom
D28,16.5,-18.5,270.0,bottom
D29,22.5,-51.0,270.0,bottom
D3,-22.5,-11.5,90.0,bottom
D30,19.5,-51.0,270.0,bottom
D31,16.5,-51.0,270.0,bottom
D32,22.5,-44.0,270.0,bottom
D33,19.5,-44.0,270.0,bottom
D34,16.5,-62.0,270.0,bottom
D35,19.5,-62.0,270.0,bottom
D36,22.5,-62.0,270.0,bottom
D4,-16.5,-11.5,90.0,bottom
D5,-22.5,-18.5,90.0,bottom
D6,-16.5,-18.5,90.0,bottom
D7,-22.5,-25.5,90.0,bottom
D8,-19.5,-25.5,90.0,bottom
D9,-16.5,-25.5,90.0,bottom
H1,115.0,-64.9,90.0,bottom
H2,74.0,-64.9,90.0,bottom
H3,-115.0,-64.9,270.0,bottom
H4,-74.0,-64.9,270.0,bottom
H5,14.5,-3.0,0.0,bottom
H6,-14.5,-3.0,0.0,bottom
H7,0.0,-67.5,0.0,bottom
J1,0.0,-17.77,0.0,top
J10,97.25,-65.35,90.0,bottom
J11,-97.25,-65.35,90.0,top
J12,15.55,-56.5,270.0,top
J2,4.0,-45.0,270.0,bottom
J3,-4.0,-45.0,90.0,bottom
J4,-19.5,-34.5,270.0,bottom
J5,19.5,-34.5,90.0,bottom
J6,-0.16,-20.78,0.0,bottom
J7,-15.55,-56.5,90.0,top
J8,84.0,-64.9,0.0,bottom
J9,-84.0,-64.9,0.0,bottom
SW1,-128.5125,-34.125,0.0,top
SW10,-33.5125,-32.125,0.0,top
SW11,-109.5125,-50.125,0.0,top
SW12,-90.5125,-44.125,0.0,top
SW13,-71.5125,-40.125,0.0,top
SW14,-52.5125,-46.125,0.0,top
SW15,-33.5125,-48.125,0.0,top
SW16,-56.5125,-70.125,0.0,top
SW17,-36.3,-71.8,350.0,top
SW18,-16.7,-77.0,340.0,top
SW19,33.4875,-16.125,0.0,top
SW2,-90.5125,-12.125,0.0,top
SW20,52.4875,-14.125,0.0,top
SW21,71.4875,-8.125,0.0,top
SW22,90.4875,-12.125,0.0,top
SW23,128.4875,-34.125,0.0,top
SW24,33.4875,-32.125,0.0,top
SW25,52.4875,-30.125,0.0,top
SW26,71.4875,-24.125,0.0,top
SW27,90.4875,-28.125,0.0,top
SW28,109.4875,-34.125,0.0,top
SW29,33.4875,-48.125,0.0,top
SW3,-71.5125,-8.125,0.0,top
SW30,52.4875,-46.125,0.0,top
SW31,71.4875,-40.125,0.0,top
SW32,90.4875,-44.125,0.0,top
SW33,109.4875,-50.125,0.0,top
SW34,16.7,-77.0,20.0,top
SW35,36.3,-71.8,10.0,top
SW36,56.4875,-70.125,0.0,top
SW37,0.0,-12.0,0.0,top
SW38,-0.25,-57.5,180.0,bottom
SW4,-52.5125,-14.125,0.0,top
SW5,-33.5125,-16.125,0.0,top
SW6,-109.5125,-34.125,0.0,top
SW7,-90.5125,-28.125,0.0,top
SW8,-71.5125,-24.125,0.0,top
SW9,-52.5125,-30.125,0.0,top
