Designator,Mid X,Mid Y,Rotation,Layer
D1,-20.0,-18.5,90.0,bottom
D10,-23.0,-44.0,90.0,bottom
D11,-20.0,-44.0,90.0,bottom
D12,-17.0,-44.0,90.0,bottom
D13,-17.0,-51.0,90.0,bottom
D14,-20.0,-51.0,90.0,bottom
D15,-23.0,-51.0,90.0,bottom
D16,-23.0,-62.0,90.0,bottom
D17,-20.0,-62.0,90.0,bottom
D18,-17.0,-62.0,90.0,bottom
D19,23.0,-18.5,270.0,bottom
D2,-20.0,-11.5,90.0,bottom
D20,23.0,-11.5,270.0,bottom
D21,20.0,-11.5,270.0,bottom
D22,17.0,-11.5,270.0,bottom
D23,20.0,-18.5,270.0,bottom
D24,17.0,-44.0,270.0,bottom
D25,23.0,-25.5,270.0,bottom
D26,20.0,-25.5,270.0,bottom
D27,17.0,-25.5,270.0,bottom
D28,17.0,-18.5,270.0,bottom
D29,23.0,-51.0,270.0,bottom
D3,-23.0,-11.5,90.0,bottom
D30,20.0,-51.0,270.0,bottom
D31,17.0,-51.0,270.0,bottom
D32,23.0,-44.0,270.0,bottom
D33,20.0,-44.0,270.0,bottom
D34,17.0,-62.0,270.0,bottom
D35,20.0,-62.0,270.0,bottom
D36,23.0,-62.0,270.0,bottom
D4,-17.0,-11.5,90.0,bottom
D5,-23.0,-18.5,90.0,bottom
D6,-17.0,-18.5,90.0,bottom
D7,-23.0,-25.5,90.0,bottom
D8,-20.0,-25.5,90.0,bottom
D9,-17.0,-25.5,90.0,bottom
H1,12.5,-3.5,0.0,top
H2,-12.5,-3.5,0.0,top
H3,0.0,-51.0,0.0,bottom
J12,18.5,-56.5,270.0,top
J2,4.0,-28.5,270.0,bottom
J3,-4.23,-25.0,270.0,bottom
J4,-20.0,-34.5,270.0,bottom
J5_2,-1.8,-30.5,90.0,bottom
J5,20.0,-34.5,90.0,bottom
J7,-18.5,-56.5,90.0,top
SW1,-124.0925,-35.95,0.0,top
SW10,-34.0925,-34.45,0.0,top
SW11,-106.0925,-52.95,0.0,top
SW12,-88.0925,-47.45,0.0,top
SW13,-70.0925,-43.45,0.0,top
SW14,-52.0925,-49.45,0.0,top
SW15,-34.0925,-51.45,0.0,top
SW16,-55.0925,-73.45,0.0,top
SW17,-36.17753275243762,-75.08871653844571,350.0,top
SW18,-17.83387091857058,-79.98661005766785,340.0,top
SW19,33.9075,-17.45,0.0,top
SW2,-88.0925,-13.45,0.0,top
SW20,51.9075,-15.45,0.0,top
SW21,69.9075,-9.45,0.0,top
SW22,87.9075,-13.45,0.0,top
SW23,123.9075,-35.95,0.0,top
SW24,33.9075,-34.45,0.0,top
SW25,51.9075,-32.45,0.0,top
SW26,69.9075,-26.45,0.0,top
SW27,87.9075,-30.45,0.0,top
SW28,105.9075,-35.95,0.0,top
SW29,33.9075,-51.45,0.0,top
SW3,-70.0925,-9.45,0.0,top
SW30,51.9075,-49.45,0.0,top
SW31,69.9075,-43.45,0.0,top
SW32,87.9075,-47.45,0.0,top
SW33,105.9075,-52.95,0.0,top
SW34_2,0.0,-2.8,180.0,top
SW34,17.6600277837252,-80.0498837841831,20.0,top
SW35,35.995343318130345,-75.1208414513141,10.0,top
SW36,54.9075,-73.45,0.0,top
SW37,0.0,-13.0,0.0,top
SW38,-0.25,-41.0,180.0,bottom
SW4,-52.0925,-15.45,0.0,top
SW5,-34.0925,-17.45,0.0,top
SW6,-106.0925,-35.95,0.0,top
SW7,-88.0925,-30.45,0.0,top
SW8,-70.0925,-26.45,0.0,top
SW9,-52.0925,-32.45,0.0,top
U1,0.0,-11.5,0.0,top
